No,gpa_post,gpa_prior,rm_avg,rm_diff,or_indorm,gender,major,cohort,semester
48,0.18095238095238095,0.23809523809523808,0.31746031746031744,0.31746031746031744,3,0,5,1,3
48,0.21904761904761905,0.18095238095238095,0.26666666666666666,0.3111111111111111,3,0,5,1,4
49,0.8761904761904762,0.6571428571428571,0.25396825396825395,0.17777777777777778,1,0,5,1,1
49,0.6952380952380952,0.8761904761904762,0.3428571428571429,0.5142857142857143,1,0,5,1,2
49,0.8857142857142857,0.6952380952380952,0.15873015873015875,0.1523809523809524,1,0,5,1,3
49,0.6952380952380952,0.8857142857142857,0.18095238095238095,0.2349206349206349,1,0,5,1,4
50,0.8285714285714286,0.3904761904761905,0.3428571428571428,0.35555555555555557,2,0,5,1,1
50,0.3047619047619048,0.8285714285714286,0.35873015873015873,0.546031746031746,2,0,5,1,2
50,0.38095238095238093,0.3047619047619048,0.28888888888888886,0.41269841269841273,2,0,5,1,3
50,0.580952380952381,0.38095238095238093,0.34920634920634913,0.5714285714285714,2,0,5,1,4
51,0.05714285714285714,0.12380952380952381,0.43174603174603177,0.273015873015873,4,0,5,1,1
51,0.0761904761904762,0.05714285714285714,0.6158730158730159,0.48888888888888893,4,0,5,1,2
51,0.13333333333333333,0.0761904761904762,0.3650793650793651,0.39999999999999997,4,0,5,1,3
51,0.01904761904761905,0.13333333333333333,0.4317460317460317,0.5714285714285714,3,0,5,1,4
52,0.14285714285714285,0.24761904761904763,0.3904761904761905,0.35555555555555557,3,0,5,1,1
52,0.09523809523809523,0.14285714285714285,0.5873015873015873,0.546031746031746,3,0,5,1,2
52,0.02857142857142857,0.09523809523809523,0.35873015873015873,0.41269841269841273,3,0,5,1,3
52,0.009523809523809525,0.02857142857142857,0.4666666666666666,0.5015873015873016,4,0,5,1,4
53,0.7904761904761904,0.42857142857142855,0.673015873015873,0.39365079365079375,3,0,5,1,1
53,0.8095238095238095,0.7904761904761904,0.7365079365079364,0.19047619047619047,2,0,5,1,2
53,0.9428571428571428,0.8095238095238095,0.7047619047619048,0.2984126984126984,2,0,5,1,3
53,0.8952380952380953,0.9428571428571428,0.780952380952381,0.22222222222222218,1,0,5,1,4
54,0.6285714285714286,0.3333333333333333,0.7047619047619048,0.3301587301587302,4,0,5,1,1
54,0.6571428571428571,0.6285714285714286,0.7904761904761904,0.16507936507936508,4,0,5,1,2
54,0.9142857142857143,0.6571428571428571,0.7555555555555555,0.2984126984126984,3,0,5,1,3
54,0.8571428571428571,0.9142857142857143,0.7904761904761904,0.24126984126984122,2,0,5,1,4
55,0.9142857142857143,0.7619047619047619,0.5619047619047619,0.39365079365079375,2,0,5,1,1
55,0.9523809523809523,0.9142857142857143,0.6952380952380951,0.10793650793650793,1,0,5,1,2
55,0.8476190476190476,0.9523809523809523,0.6571428571428571,0.2031746031746032,1,0,5,1,3
55,0.9523809523809523,0.8476190476190476,0.8126984126984128,0.24126984126984122,3,0,5,1,4
56,0.6666666666666666,0.9238095238095239,0.5079365079365079,0.28571428571428564,1,0,5,1,1
56,0.5047619047619047,0.6666666666666666,0.7777777777777777,0.19047619047619047,3,0,5,1,2
56,0.580952380952381,0.5047619047619047,0.8063492063492065,0.1968253968253968,4,0,5,1,3
56,0.8761904761904762,0.580952380952381,0.9015873015873016,0.06349206349206349,4,0,5,1,4
57,0.34285714285714286,0.21904761904761905,0.4920634920634921,0.23492063492063495,4,1,5,1,1
57,0.41904761904761906,0.34285714285714286,0.6031746031746031,0.4063492063492063,3,1,5,1,2
57,0.5714285714285714,0.41904761904761906,0.5269841269841269,0.39999999999999997,2,1,5,1,3
57,0.13333333333333333,0.5714285714285714,0.4476190476190476,0.4000000000000001,2,1,5,1,4
58,0.8571428571428571,0.7142857142857143,0.326984126984127,0.12063492063492065,1,1,5,1,1
58,0.8857142857142857,0.8571428571428571,0.43174603174603177,0.3047619047619048,1,1,5,1,2
58,0.8,0.8857142857142857,0.37142857142857144,0.0888888888888889,1,1,5,1,3
58,0.6857142857142857,0.8,0.37142857142857144,0.2476190476190476,1,1,5,1,4
59,0.7047619047619048,0.3619047619047619,0.4444444444444445,0.33015873015873015,3,1,5,1,1
59,0.4095238095238095,0.7047619047619048,0.48253968253968255,0.4063492063492064,2,1,5,1,2
59,0.34285714285714286,0.4095238095238095,0.5301587301587302,0.39999999999999997,3,1,5,1,3
59,0.5333333333333333,0.34285714285714286,0.5238095238095238,0.4000000000000001,3,1,5,1,4
60,0.24761904761904763,0.4,0.43174603174603177,0.33015873015873015,2,1,5,1,1
60,0.2857142857142857,0.24761904761904763,0.6349206349206349,0.3428571428571428,4,1,5,1,2
60,0.2,0.2857142857142857,0.5714285714285715,0.31746031746031744,4,1,5,1,3
60,0.5047619047619047,0.2,0.5714285714285715,0.3047619047619048,4,1,5,1,4
61,0.4666666666666667,0.5238095238095238,0.3333333333333333,0.05714285714285716,1,1,5,1,1
61,0.5333333333333333,0.4666666666666667,0.5174603174603174,0.3111111111111111,3,1,5,1,2
61,0.09523809523809523,0.5333333333333333,0.44126984126984126,0.34920634920634913,3,1,5,1,3
61,0.45714285714285713,0.09523809523809523,0.6,0.4507936507936508,4,1,5,1,4
62,0.7428571428571429,0.37142857142857144,0.3841269841269841,0.15873015873015875,2,1,5,1,1
62,0.638095238095238,0.7428571428571429,0.4253968253968254,0.1714285714285714,1,1,5,1,2
62,0.8666666666666667,0.638095238095238,0.4063492063492064,0.30476190476190473,1,1,5,1,3
62,0.9142857142857143,0.8666666666666667,0.3428571428571428,0.43174603174603177,1,1,5,1,4
63,0.2761904761904762,0.34285714285714286,0.39365079365079364,0.15873015873015875,3,1,5,1,1
63,0.11428571428571428,0.2761904761904762,0.580952380952381,0.18412698412698414,4,1,5,1,2
63,0.19047619047619047,0.11428571428571428,0.5809523809523809,0.06984126984126982,4,1,5,1,3
63,0.17142857142857143,0.19047619047619047,0.5682539682539683,0.5142857142857143,3,1,5,1,4
64,0.5333333333333333,0.2857142857142857,0.41269841269841273,0.12063492063492065,4,1,5,1,1
64,0.5714285714285714,0.5333333333333333,0.49523809523809526,0.3111111111111111,2,1,5,1,2
64,0.7428571428571429,0.5714285714285714,0.42857142857142855,0.34920634920634913,2,1,5,1,3
64,0.49523809523809526,0.7428571428571429,0.3841269841269841,0.5142857142857143,2,1,5,1,4
65,0.17142857142857143,0.14285714285714285,0.5777777777777778,0.050793650793650835,4,0,5,1,1
65,0.21904761904761905,0.17142857142857143,0.780952380952381,0.24761904761904754,4,0,5,1,2
65,0.3523809523809524,0.21904761904761905,0.7015873015873016,0.18412698412698414,4,0,5,1,3
65,0.20952380952380953,0.3523809523809524,0.7015873015873016,0.26666666666666666,4,0,5,1,4
66,0.7523809523809524,0.6095238095238096,0.4222222222222222,0.2984126984126984,1,0,5,1,1
66,0.819047619047619,0.7523809523809524,0.5873015873015873,0.5396825396825397,2,0,5,1,2
66,0.7904761904761904,0.819047619047619,0.5015873015873016,0.34920634920634924,1,0,5,1,3
66,0.9047619047619048,0.7904761904761904,0.5555555555555555,0.3365079365079365,2,0,5,1,4
67,0.6095238095238096,0.5333333333333333,0.44761904761904764,0.31111111111111117,3,0,5,1,1
67,0.5428571428571428,0.6095238095238096,0.6349206349206349,0.5396825396825397,3,0,5,1,2
67,0.45714285714285713,0.5428571428571428,0.5936507936507937,0.39999999999999997,3,0,5,1,3
67,0.819047619047619,0.45714285714285713,0.6666666666666666,0.3365079365079365,3,0,5,1,4
68,0.9809523809523809,0.5904761904761905,0.42857142857142855,0.3111111111111111,2,0,5,1,1
68,0.7428571428571429,0.9809523809523809,0.5111111111111112,0.38730158730158726,1,0,5,1,2
68,0.8571428571428571,0.7428571428571429,0.5269841269841269,0.39999999999999997,2,0,5,1,3
68,0.9904761904761905,0.8571428571428571,0.5333333333333333,0.292063492063492,1,0,5,1,4
69,0.9047619047619048,0.8761904761904762,0.9333333333333335,0.09523809523809527,3,0,5,1,1
69,0.9047619047619048,0.9047619047619048,0.8761904761904761,0.14603174603174604,3,0,5,1,2
69,0.7523809523809524,0.9047619047619048,0.9460317460317459,0.038095238095238036,4,0,5,1,3
69,0.8285714285714286,0.7523809523809524,0.942857142857143,0.07619047619047621,4,0,5,1,4
70,0.9523809523809523,0.9619047619047619,0.9047619047619048,0.09523809523809527,2,0,5,1,1
70,0.9809523809523809,0.9523809523809523,0.8603174603174603,0.1396825396825397,1,0,5,1,2
70,0.9904761904761905,0.9809523809523809,0.9206349206349206,0.019047619047619053,1,0,5,1,3
70,1.0,0.9904761904761905,0.8634920634920635,0.1396825396825397,1,0,5,1,4
71,0.7333333333333333,0.9904761904761905,0.8952380952380953,0.07619047619047621,1,0,5,1,1
71,0.9238095238095239,0.7333333333333333,0.9333333333333332,0.03174603174603171,4,0,5,1,2
71,0.9619047619047619,0.9238095238095239,0.9396825396825396,0.05079365079365076,3,0,5,1,3
71,0.9238095238095239,0.9619047619047619,0.873015873015873,0.15873015873015875,2,0,5,1,4
72,0.9428571428571428,0.8476190476190476,0.942857142857143,0.07619047619047621,4,0,5,1,1
72,0.9333333333333333,0.9428571428571428,0.8634920634920635,0.14603174603174604,2,0,5,1,2
72,0.8761904761904762,0.9333333333333333,0.9365079365079364,0.05079365079365076,2,0,5,1,3
72,0.9619047619047619,0.8761904761904762,0.9015873015873016,0.15873015873015875,3,0,5,1,4
73,0.819047619047619,0.580952380952381,0.5365079365079365,0.38095238095238093,3,0,5,1,1
73,0.6761904761904762,0.819047619047619,0.6,0.4698412698412698,2,0,5,1,2
73,0.47619047619047616,0.6761904761904762,0.33968253968253964,0.20317460317460315,1,0,5,1,3
